Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_Light / WT_Light	O15247	O15247	-2,026172042898097	2,026172042898097	1,060406479026908E-08	4,0799379557264125E-05	12	O15247	CLIC2	Chloride intracellular channel protein 2	CLIC2_HUMAN	17	-75,4494379732803	0,24550562026719705	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P12277	P12277	0,8858483759792747	0,8858483759792747	4,7314300555382185E-08	8,427278050876132E-05	12	P12277	CKB	Creatine kinase B-type	KCRB_HUMAN	23	84,78509296899435	1,8478509296899435	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q15274	Q15274	2,1646817459258294	2,1646817459258294	1,0865917646107771E-07	0,0001011668675317615	12	Q15274	QPRT	Nicotinate-nucleotide pyrophosphorylase [carboxylating]	NADC_HUMAN	7	348,3675118116085	4,483675118116085	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P09936	P09936	2,0914059704124504	2,0914059704124504	2,1759281877888876E-07	0,00013723789654080106	12	P09936	UCHL1	Ubiquitin carboxyl-terminal hydrolase isozyme L1	UCHL1_HUMAN	9	326,1631856333258	4,261631856333258	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P68366	P68366	-0,8894848267769127	0,8894848267769127	4,449299493972644E-07	0,00017057392883559438	12	P68366	TUBA4A	Tubulin alpha-4A chain	TBA4A_HUMAN	6	-46,01931560661671	0,5398068439338329	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P13995	P13995	-0,7350209587137271	0,7350209587137271	6,327056210804956E-07	0,00020389516395144785	12	P13995	MTHFD2	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	MTDC_HUMAN	11	-39,91907035410042	0,6008092964589958	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q14315	Q14315	0,5882933264120918	0,5882933264120918	7,372199919302428E-07	0,00020389516395144785	12	Q14315	FLNC	Filamin-C	FLNC_HUMAN	127	50,346712948665726	1,5034671294866573	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q8TER0;Q8TER0-5	Q8TER0;Q8TER0-5	-1,48595799592175	1,48595799592175	6,990761798863144E-07	0,00020389516395144785	12	Q8TER0;Q8TER0-5	SNED1	Sushi, nidogen and EGF-like domain-containing protein 1;Isoform 4 of Sushi, nidogen and EGF-like domain-containing protein 1	SNED1_HUMAN	8	-64,29886108404507	0,35701138915954933	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q13642-1;Q13642-4;Q13642-5	Q13642-1;Q13642-4;Q13642-5	0,7025530298304046	0,7025530298304046	8,646682657438399E-07	0,00020737098447577563	12	Q13642-1;Q13642-4;Q13642-5	FHL1	Isoform 1 of Four and a half LIM domains protein 1;Isoform 4 of Four and a half LIM domains protein 1;Isoform 5 of Four and a half LIM domains protein 1	FHL1_HUMAN	22	62,73821028326137	1,6273821028326136	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9H6R3	Q9H6R3	0,908119605852943	0,908119605852943	8,897785831480435E-07	0,00020737098447577563	12	Q9H6R3	ACSS3	Acyl-CoA synthetase short-chain family member 3, mitochondrial	ACSS3_HUMAN	17	87,65979648928909	1,876597964892891	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O14558	O14558	0,9742990302600669	0,9742990302600669	9,61540420418708E-07	0,000210535607632064	12	O14558	HSPB6	Heat shock protein beta-6	HSPB6_HUMAN	12	96,46863727644283	1,9646863727644284	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O15075	O15075	-3,07485240805318	3,07485240805318	9,370042751066148E-07	0,000210535607632064	12	O15075	DCLK1	Serine/threonine-protein kinase DCLK1	DCLK1_HUMAN	18	-88,13200941987121	0,11867990580128793	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P31327;P31327-3	P31327;P31327-3	-0,756094954337058	0,756094954337058	9,69118488486383E-07	0,000210535607632064	12	P31327;P31327-3	CPS1	Carbamoyl-phosphate synthase [ammonia], mitochondrial;Isoform 3 of Carbamoyl-phosphate synthase [ammonia], mitochondrial	CPSM_HUMAN	51	-40,790316558901274	0,5920968344109873	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P37840;P37840-2	P37840;P37840-2	-5,702008472865714	5,702008472865714	1,1121586452196625E-06	0,00023628252713594805	12	P37840;P37840-2	SNCA	Alpha-synuclein;Isoform 2-4 of Alpha-synuclein	SYUA_HUMAN	7	-98,07901305179466	0,0192098694820534	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q8IY33	Q8IY33	-0,5805261230113582	0,5805261230113582	1,900039553239948E-06	0,0003221639783106726	12	Q8IY33	MICALL2	MICAL-like protein 2	MILK2_HUMAN	13	-33,12801362954756	0,6687198637045244	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P04216	P04216	1,0555375048106277	1,0555375048106277	1,9541393265592173E-06	0,0003265583941272292	12	P04216	THY1	Thy-1 membrane glycoprotein	THY1_HUMAN	5	107,8492446171499	2,078492446171499	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9HC52	Q9HC52	-0,8469660553068337	0,8469660553068337	2,0991623437237266E-06	0,00033441091418969225	12	Q9HC52	CBX8	Chromobox protein homolog 8	CBX8_HUMAN	4	-44,40473405695832	0,5559526594304168	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P08582	P08582	0,8346790783880779	0,8346790783880779	2,6009357899028004E-06	0,00035555185946085005	12	P08582	MELTF	Melanotransferrin	TRFM_HUMAN	26	78,34602712683044	1,7834602712683043	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P27144	P27144	0,8189899219500708	0,8189899219500708	6,300682656059619E-06	0,0005655141843045681	12	P27144	AK4	Adenylate kinase 4, mitochondrial	KAD4_HUMAN	15	76,41704066121002	1,7641704066121002	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P06276	P06276	-2,668789840909033	2,668789840909033	6,601814743715507E-06	0,0005670246881299388	12	P06276	BCHE	Cholinesterase	CHLE_HUMAN	14	-84,27414721534046	0,15725852784659533	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P07942	P07942	-0,5983949321997405	0,5983949321997405	6,702047479644183E-06	0,0005679682457909031	12	P07942	LAMB1	Laminin subunit beta-1	LAMB1_HUMAN	60	-33,95116280634538	0,6604883719365462	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q96SL4	Q96SL4	-0,6669963480116768	0,6669963480116768	8,017235487464982E-06	0,0006195770286597443	12	Q96SL4	GPX7	Glutathione peroxidase 7	GPX7_HUMAN	6	-37,018341573240235	0,6298165842675977	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O43504	O43504	-0,6072423768121031	0,6072423768121031	8,260878868020996E-06	0,0006298664423949363	12	O43504	LAMTOR5	Ragulator complex protein LAMTOR5	LTOR5_HUMAN	4	-34,35497320382444	0,6564502679617555	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O95571	O95571	-0,6498254576532173	0,6498254576532173	8,704734727113292E-06	0,0006479188783372589	12	O95571	ETHE1	Persulfide dioxygenase ETHE1, mitochondrial	ETHE1_HUMAN	14	-36,264258125075	0,63735741874925	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P09972	P09972	-0,7415429315996223	0,7415429315996223	9,49030093195953E-06	0,0006753782974566067	12	P09972	ALDOC	Fructose-bisphosphate aldolase C	ALDOC_HUMAN	14	-40,190064437513364	0,5980993556248664	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P35580	P35580	1,0569512749441206	1,0569512749441206	1,1515826561310874E-05	0,0007505248030891674	12	P35580	MYH10	Myosin-10	MYH10_HUMAN	103	108,05302647873822	2,0805302647873822	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P48507	P48507	0,7814768901314497	0,7814768901314497	1,3886315306150459E-05	0,00081778685802968	12	P48507	GCLM	Glutamate--cysteine ligase regulatory subunit	GSH0_HUMAN	6	71,88896036350314	1,7188896036350314	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P11137;P11137-3	P11137;P11137-3	-0,9359803203858577	0,9359803203858577	1,4632177632205547E-05	0,0008389687303955508	12	P11137;P11137-3	MAP2	Microtubule-associated protein 2;Isoform 3 of Microtubule-associated protein 2	MTAP2_HUMAN	9	-47,73128200386666	0,5226871799613334	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q14195-2	Q14195-2	-0,6407895613954262	0,6407895613954262	1,5423281708772715E-05	0,0008766162906102445	12	Q14195-2	DPYSL3	Isoform LCRMP-4 of Dihydropyrimidinase-related protein 3	DPYL3_HUMAN	23	-35,86381532435784	0,6413618467564216	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P16402	P16402	-1,4543190725822006	1,4543190725822006	1,6809591489794357E-05	0,0009140892565836313	12	P16402	H1-3	Histone H1.3	H13_HUMAN	3	-63,507271513517004	0,36492728486482995	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9UM22	Q9UM22	1,2233646942355796	1,2233646942355796	1,6847152270252044E-05	0,0009140892565836313	12	Q9UM22	EPDR1	Mammalian ependymin-related protein 1	EPDR1_HUMAN	6	133,4906362505296	2,334906362505296	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q5T013	Q5T013	-0,6357429266000978	0,6357429266000978	1,7216086802095194E-05	0,0009247498053696848	12	Q5T013	HYI	Putative hydroxypyruvate isomerase	HYI_HUMAN	10	-35,639070201733034	0,6436092979826696	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P78357	P78357	-0,6932356088404154	0,6932356088404154	1,743183276924593E-05	0,0009322296113908878	12	P78357	CNTNAP1	Contactin-associated protein 1	CNTP1_HUMAN	8	-38,153477145245816	0,6184652285475418	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9BXW6;Q9BXW6-2;Q9BXW6-4	Q9BXW6;Q9BXW6-2;Q9BXW6-4	-0,7292774689489637	0,7292774689489637	1,7498377014139516E-05	0,0009322296113908878	12	Q9BXW6;Q9BXW6-2;Q9BXW6-4	OSBPL1A	Oxysterol-binding protein-related protein 1;Isoform A of Oxysterol-binding protein-related protein 1;Isoform 4 of Oxysterol-binding protein-related protein 1	OSBL1_HUMAN	16	-39,67940639757885	0,6032059360242115	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P27487	P27487	0,7684013590041467	0,7684013590041467	2,0350344318529336E-05	0,0009992186377001209	12	P27487	DPP4	Dipeptidyl peptidase 4	DPP4_HUMAN	22	70,33812317139703	1,7033812317139703	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P28906;P28906-2	P28906;P28906-2	1,30667115320041	1,30667115320041	2,08284735454071E-05	0,0010080156305935636	12	P28906;P28906-2	CD34	Hematopoietic progenitor cell antigen CD34;Isoform CD34-T of Hematopoietic progenitor cell antigen CD34	CD34_HUMAN	2	147,37010395922007	2,473701039592201	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q13683-3	Q13683-3	0,7085034277608824	0,7085034277608824	2,2592389245342247E-05	0,0010644009506624859	12	Q13683-3	ITGA7	Isoform Alpha-7X1B of Integrin alpha-7	ITA7_HUMAN	28	63,41081040022751	1,6341081040022751	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P05783	P05783	0,6797429315099551	0,6797429315099551	2,3429060401317478E-05	0,0010906785451584744	12	P05783	KRT18	Keratin, type I cytoskeletal 18	K1C18_HUMAN	21	60,185430125839524	1,6018543012583952	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9H4G0-2	Q9H4G0-2	1,1112872405762912	1,1112872405762912	2,741782051432176E-05	0,0011781829158154266	12	Q9H4G0-2	EPB41L1	Isoform 2 of Band 4.1-like protein 1	E41L1_HUMAN	14	116,03832091363687	2,1603832091363686	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P0C0S5;Q71UI9	P0C0S5;Q71UI9	-0,7399885191972905	0,7399885191972905	2,7715337382288334E-05	0,0011805888376873672	12	P0C0S5;Q71UI9	H2AZ1;H2AZ2	Histone H2A.Z;Histone H2A.V	H2AZ_HUMAN;H2AV_HUMAN	5	-40,12558829720506	0,5987441170279494	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P49418;P49418-2	P49418;P49418-2	0,7132390897066558	0,7132390897066558	3,0460828917888634E-05	0,0012381915322298514	12	P49418;P49418-2	AMPH	Amphiphysin;Isoform 2 of Amphiphysin	AMPH_HUMAN	15	63,94808946780239	1,639480894678024	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P80404	P80404	0,6291123277115299	0,6291123277115299	3,089149930376748E-05	0,0012423132306441645	12	P80404	ABAT	4-aminobutyrate aminotransferase, mitochondrial	GABT_HUMAN	22	54,66130889558593	1,5466130889558594	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O00168	O00168	-1,0045086468529727	1,0045086468529727	3,3322644136272814E-05	0,0012988765563819752	12	O00168	FXYD1	Phospholemman	PLM_HUMAN	1	-50,1560138818887	0,49843986118111305	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P00738	P00738	0,7646409034870781	0,7646409034870781	3,370725020859256E-05	0,0013024588064790548	12	P00738	HP	Haptoglobin	HPT_HUMAN	11	69,89470662761508	1,6989470662761508	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P05186	P05186	0,7697523013580783	0,7697523013580783	3,6635940830692654E-05	0,0013607531656351993	12	P05186	ALPL	Alkaline phosphatase, tissue-nonspecific isozyme	PPBT_HUMAN	10	70,4977028144838	1,704977028144838	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q96JQ2	Q96JQ2	0,6131026006980381	0,6131026006980381	3,755024716396997E-05	0,0013723036122428802	12	Q96JQ2	CLMN	Calmin	CLMN_HUMAN	18	52,95450512585083	1,5295450512585083	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P26992	P26992	-2,053042549885899	2,053042549885899	3,7968687247373484E-05	0,0013850070392922506	10	P26992	CNTFR	Ciliary neurotrophic factor receptor subunit alpha	CNTFR_HUMAN	2	-75,90246553358394	0,24097534466416076	TLR10_Light	WT_Light	NaN	NaN	NaN
