"logFC","AveExpr","t","P.Value","B","gene","count","sca.t","sca.P.Value","qvalue","sca.qvalue"
24.4559464955094,-8.95328944875908,46.2758090284411,9.54754260546225e-22,37.8645623615852,"MED25",2,87.6648480292011,1.42107263333094e-26,2.82146330028665e-18,4.2096509737871e-23
23.9383745778522,-9.0577776954122,35.9879558812114,1.34819515771841e-19,34.0114525064746,"SERAC1",3,49.7560500826627,7.56872332475448e-22,1.54266471029809e-16,8.63501073842903e-19
-25.0717362164262,-14.5861970377889,-22.1617268079753,1.6665475304166e-15,25.5859747955294,"GAS2L2",1,-49.3822899345739,8.7448894399868e-22,4.10411251840835e-13,8.63501073842903e-19
24.0869919678951,-15.293667717684,19.818048087351,1.40746904813275e-14,23.5431096739997,"PHYHD1",2,46.8954072866073,2.35207241252855e-21,2.31072971088918e-12,1.74188913528826e-18
23.4527251643368,-21.3036593359972,11.9513156357228,1.54155837412201e-10,14.3207584365256,"ADCK1",1,45.9748691686321,3.43727907088645e-21,1.22822395800401e-08,2.03645399236471e-18
24.1911111634038,-9.08288973610964,35.1944088932301,2.08808770201162e-19,33.6484070710641,"UBE2D2",1,45.3621452574678,4.44315486676039e-21,1.54266471029809e-16,2.19366352486654e-18
24.5746535395304,-8.55939834609691,35.4217783907066,1.84030164532653e-19,33.7535740276021,"CARMIL2",3,44.151595432576,7.4533141685165e-21,1.54266471029809e-16,3.10445695707547e-18
-25.1845692848976,-14.5664930682976,-21.4804250490361,3.03057469695423e-15,25.0171761861475,"LCP1",10,-43.8807251057661,8.38389472291091e-21,6.39705018466648e-13,3.10445695707547e-18
-25.474650649745,-14.4464316484399,-21.8224504737732,2.23981101011116e-15,25.3051591906009,"EIF5A2",1,-41.5055485526985,2.42782503373464e-20,5.09155950122634e-13,7.99106547932798e-18
-23.5763633462196,-15.4383594731853,-18.5671183042591,4.83838602315422e-14,22.3451421031964,"SLC25A44",1,-38.1439774510218,1.21621211489489e-19,7.14913206521823e-12,3.60279157709078e-17
-24.4959636349867,-8.33168473781213,-31.174730433501,2.24281392579204e-18,31.6232750809941,"PRDM2",2,-35.6441309069439,4.42157362422953e-19,1.10465024744932e-15,1.19073190185157e-16
-25.017702709906,-14.7887053844193,-19.9593941803099,1.22965864918872e-14,23.6734823217575,"SLC39A8",1,-35.0791478056689,5.99182492652531e-19,2.2711582013399e-12,1.47913455448474e-16
25.5863921747196,-8.02029565930884,31.6678926703355,1.65046620454228e-18,31.8898296864132,"GPATCH3",1,34.6098976706579,7.74026474836882e-19,9.75482386811301e-16,1.76377132158942e-16
-2.14608966540749,0.38018071524145,-29.1884635415709,8.10103596745438e-18,30.4922995878407,"BCHE",14,-31.1760250376834,5.62195306766275e-18,3.41999381725694e-15,1.18956723507804e-15
24.2840841105406,-21.0958195994463,12.0237952787456,1.385939340831e-10,14.4282067408952,"HEPH",1,30.8046474531272,7.05420197279561e-18,1.13769152387296e-08,1.39311331959457e-15
